,Name,Household Income,White,Black,American Indian,Asian,Native Hawaiian,Two or more races,Hispanic,Population,Median Age,Per Capita Income,Poverty Count,Non Educated,State,county,County,Poverty Rate,Year
0,"New Haven County, Connecticut",64872.0,641178.0,112152.0,1165.0,34047.0,168.0,25591.0,148446.0,862127.0,40.1,35085.0,100732.0,5981.0,09,009,New Haven County,11.684125424676411,2017
1,"Litchfield County, Connecticut",76438.0,171607.0,3560.0,330.0,3546.0,6.0,2942.0,10510.0,184454.0,46.9,40619.0,12400.0,922.0,09,005,Litchfield County,6.722543289925944,2017
2,"Hartford County, Connecticut",69936.0,644122.0,121811.0,2592.0,45626.0,279.0,30140.0,154977.0,897417.0,40.4,37817.0,97996.0,7525.0,09,003,Hartford County,10.919784225170684,2017
3,"Windham County, Connecticut",62553.0,103901.0,2617.0,736.0,1565.0,16.0,4178.0,12946.0,116674.0,41.0,29993.0,12313.0,819.0,09,015,Windham County,10.553336647410735,2017
4,"New London County, Connecticut",69411.0,219757.0,15556.0,1722.0,11210.0,61.0,14136.0,27186.0,270772.0,41.0,36881.0,25689.0,1647.0,09,011,New London County,9.487317743341261,2017
5,"Middlesex County, Connecticut",81673.0,145791.0,8442.0,265.0,4780.0,0.0,3248.0,9612.0,164110.0,45.1,43695.0,11433.0,843.0,09,007,Middlesex County,6.9666686978246295,2017
6,"Tolland County, Connecticut",81312.0,134422.0,4797.0,48.0,6714.0,5.0,3558.0,7860.0,151596.0,37.9,37830.0,8798.0,463.0,09,013,Tolland County,5.803583208000211,2017
7,"Fairfield County, Connecticut",89773.0,696286.0,107305.0,2527.0,48962.0,396.0,26861.0,180379.0,947328.0,40.2,53433.0,81422.0,7074.0,09,001,Fairfield County,8.594911160653966,2017
0,"Litchfield County, Connecticut",78314.0,170083.0,3528.0,356.0,3394.0,6.0,3442.0,10941.0,183031.0,47.2,42443.0,12650.0,792.0,09,005,Litchfield County,6.911397522824003,2018
1,"Windham County, Connecticut",64774.0,103567.0,2644.0,711.0,1614.0,23.0,4086.0,13368.0,116538.0,41.3,31106.0,11691.0,742.0,09,015,Windham County,10.031920918498686,2018
2,"New London County, Connecticut",71368.0,216974.0,15760.0,1477.0,11087.0,74.0,14383.0,27762.0,268881.0,41.4,38109.0,26140.0,1771.0,09,011,New London County,9.721772828872252,2018
3,"Middlesex County, Connecticut",84761.0,144844.0,8654.0,264.0,5020.0,8.0,3257.0,9835.0,163368.0,45.4,45293.0,10909.0,852.0,09,007,Middlesex County,6.677562313304931,2018
4,"Tolland County, Connecticut",84916.0,133656.0,4621.0,67.0,7037.0,0.0,3634.0,8086.0,151269.0,37.5,39668.0,9390.0,293.0,09,013,Tolland County,6.207484679610495,2018
5,"Fairfield County, Connecticut",92969.0,691642.0,107215.0,2338.0,49927.0,487.0,27607.0,182653.0,944348.0,40.3,55613.0,81751.0,7180.0,09,001,Fairfield County,8.656872254719659,2018
6,"New Haven County, Connecticut",67128.0,634586.0,113737.0,1540.0,34161.0,219.0,27368.0,151361.0,859339.0,40.1,36678.0,98855.0,6086.0,09,009,New Haven County,11.503609169373204,2018
7,"Hartford County, Connecticut",72321.0,639528.0,122103.0,2945.0,46577.0,356.0,29653.0,157785.0,894730.0,40.4,39260.0,97063.0,7943.0,09,003,Hartford County,10.848300604651683,2018
0,"New Haven County, Connecticut",69905.0,628640.0,115837.0,1670.0,34656.0,177.0,27911.0,155335.0,857513.0,40.3,38009.0,97553.0,6076.0,09,009,New Haven County,11.376270680444495,2019
1,"Hartford County, Connecticut",75148.0,631471.0,123117.0,2963.0,47734.0,280.0,31862.0,161079.0,893561.0,40.4,40540.0,94192.0,7864.0,09,003,Hartford County,10.541194165815204,2019
2,"Windham County, Connecticut",66550.0,104021.0,2649.0,700.0,1611.0,20.0,4311.0,13754.0,116566.0,41.2,32732.0,12678.0,862.0,09,015,Windham County,10.876241785769436,2019
3,"New London County, Connecticut",73490.0,215896.0,15537.0,1650.0,11091.0,84.0,14271.0,28213.0,267390.0,41.4,39426.0,24040.0,1531.0,09,011,New London County,8.990612962339654,2019
4,"Middlesex County, Connecticut",85898.0,143486.0,9119.0,312.0,5017.0,10.0,3367.0,10095.0,163053.0,45.7,46023.0,10944.0,819.0,09,007,Middlesex County,6.711928023403433,2019
5,"Tolland County, Connecticut",87069.0,132820.0,4806.0,88.0,7371.0,3.0,3579.0,8332.0,151063.0,37.7,41371.0,9996.0,313.0,09,013,Tolland County,6.617106770023103,2019
6,"Fairfield County, Connecticut",95645.0,688856.0,109186.0,2074.0,50339.0,540.0,29740.0,185996.0,943926.0,40.6,57263.0,82327.0,8138.0,09,001,Fairfield County,8.721764206092427,2019
7,"Litchfield County, Connecticut",79906.0,168841.0,3165.0,498.0,3438.0,9.0,3959.0,11436.0,182002.0,47.3,44480.0,12416.0,881.0,09,005,Litchfield County,6.821903056010374,2019
