Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6373,290.0,32.4,32125.0,28039.0,40.68965517241379,13.79310344827586,0.0,100.0,0.0,0.0,0.0,Oneco,Windham County,41.695,-71.815,CT
6374,8497.0,39.7,64982.0,25881.0,6.873014004942921,3.9896434035541946,1.0356596445804402,96.13981405201835,0.7885135930328351,1.6947157820407202,0.5178298222902201,Plainfield,Windham County,41.69,-71.91,CT
6375,4276.0,42.4,86705.0,33317.0,4.60710944808232,1.5902712815715625,0.0,88.96164639850329,2.8297474275023387,3.7418147801683816,3.4377923292797012,Quaker Hill,New London County,41.4,-72.14,CT
6376,116.0,63.3,177009.0,126946.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,South Lyme,New London County,41.305,-72.26100000000001,CT
6377,2878.0,37.2,68893.0,28276.0,10.493398193189716,7.2272411396803315,0.0,95.135510771369,0.9728978457261988,2.84920083391244,0.6254343293954134,Sterling,Windham County,41.72,-71.82,CT
6378,5366.0,48.4,88556.0,52402.0,2.8699217294073796,2.3853894893775625,0.2422661200149087,93.81289601192695,0.6895266492732016,1.8449496831904584,1.807677972418934,Stonington,New London County,41.38,-71.92,CT
6379,9196.0,41.8,68750.0,33852.0,6.589821661591997,2.7620704654197477,0.9243149195302304,90.34362766420185,2.751196172248804,3.96911700739452,2.435841670291431,Pawcatuck,New London County,41.37,-71.87,CT
6380,2909.0,42.1,46250.0,30335.0,9.694052939154346,7.734616706772088,3.2313509797181164,88.31213475421106,6.978343073221037,3.1969749054657965,1.1000343760742524,Taftville,New London County,41.57,-72.05,CT
6382,11795.0,41.4,60461.0,27101.0,6.485799067401441,5.061466723187792,0.7545570156846121,73.42941924544299,6.986011021619331,8.51208139041967,7.062314540059347,Uncasville,New London County,41.46,-72.12,CT
6384,2777.0,40.8,72857.0,31159.0,1.3323730644580485,6.4097947425279065,0.6121714079942384,95.24666906733887,0.0,1.5484335613971911,0.6121714079942384,Voluntown,New London County,41.57,-71.84,CT
6385,15395.0,47.4,74056.0,40297.0,5.138031828515752,4.111724585904516,0.5001623903864891,90.31503734978891,2.4618382591750567,5.774602143553102,3.871386813900617,Waterford,New London County,41.36,-72.16,CT
6387,387.0,30.2,51964.0,21946.0,3.875968992248062,0.0,0.0,100.0,0.0,0.0,0.0,Wauregan,Windham County,41.745,-71.911,CT
6389,99.0,26.6,-666666666.0,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Yantic,New London County,41.55,-72.09,CT
6401,19188.0,39.6,54720.0,26348.0,13.81592662080467,5.5086512403585575,0.5472170106316447,81.91056910569105,10.965186574942672,17.953929539295395,2.449447571398791,Ansonia,New Haven County,41.34,-73.07,CT
6403,5946.0,39.1,79726.0,33248.0,3.884964682139253,5.163134880591994,0.4709048099562731,96.43457786747393,0.0,4.74268415741675,2.0686175580221997,Beacon Falls,New Haven County,41.44,-73.06,CT
6405,27952.0,47.5,70331.0,42447.0,6.575558099599313,5.520177447052089,0.5008586147681741,91.08829421866056,1.5777046365197482,4.221522610188895,4.479107040641098,Branford,New Haven County,41.28,-72.8,CT
6409,728.0,50.2,90972.0,39245.0,6.456043956043956,1.0989010989010992,1.0989010989010992,97.52747252747251,0.0,0.0,2.4725274725274726,Centerbrook,Middlesex County,41.35,-72.42,CT
6410,29132.0,40.8,110695.0,42783.0,2.574488534944391,2.8971577646574214,0.6213098997665797,84.24413016614031,4.033365371412879,6.1307153645475765,6.769188521213787,Cheshire,New Haven County,41.51,-72.91,CT
6412,4090.0,48.0,79345.0,41371.0,5.794621026894865,5.134474327628362,0.9535452322738386,97.48166259168705,0.3422982885085575,2.762836185819071,1.0513447432762837,Chester,Middlesex County,41.4,-72.48,CT
6413,13207.0,44.2,67448.0,37783.0,5.845385023093813,3.7934428712046637,0.1741500719315514,95.75225259332173,0.0832891648368289,5.6939501779359425,1.6809267812523665,Clinton,Middlesex County,41.3,-72.54,CT
6414,431.0,48.8,160839.0,33182.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Cobalt,Middlesex County,41.57,-72.55,CT
6415,16532.0,40.0,93443.0,36578.0,3.5022985724655213,3.1212194531817077,0.3145414952818776,96.53399467699008,1.1432373578514397,3.363174449552383,0.7077183643842245,Colchester,New London County,41.5,-72.3,CT
6416,14059.0,44.0,80134.0,43611.0,3.2221352870047655,3.4781990184223632,0.5405789885482609,88.72608293619746,6.643431254000997,4.018778006970623,3.0158617255850344,Cromwell,Middlesex County,41.6,-72.67,CT
6417,4636.0,46.2,77625.0,40988.0,2.5021570319240727,4.033649698015529,0.5392579810181191,90.27178602243313,1.9413287316652288,6.147540983606558,1.3157894736842106,Deep River,Middlesex County,41.37,-72.46,CT
6418,12858.0,39.6,54561.0,26797.0,13.026909317156631,5.817389951780993,1.6098926738217452,81.28013687976356,7.435059884896562,16.0833722196298,3.079794680354643,Derby,New Haven County,41.33,-73.08,CT
6419,6512.0,45.7,106964.0,51157.0,0.2457002457002457,2.7334152334152333,0.0,92.014742014742,0.0,2.6566339066339064,2.0577395577395583,Killingworth,Middlesex County,41.38,-72.58,CT
6420,4161.0,42.6,100063.0,41589.0,2.6916606584955542,2.859889449651526,0.2403268445085316,89.11319394376352,0.9372746935832732,5.455419370343669,5.335255948089403,Salem,New London County,41.49,-72.27,CT
6422,7368.0,43.0,109969.0,45732.0,1.248642779587405,2.8637350705754616,0.0,94.86970684039088,0.4614549402823018,5.252442996742671,1.4115092290988056,Durham,Middlesex County,41.46,-72.68,CT
6423,5087.0,44.7,94509.0,41732.0,5.012777668566934,4.088853941419304,0.2358954196972675,98.34873206211913,0.511106742677413,0.8452919205818754,0.1965795164143896,East Haddam,Middlesex County,41.48,-72.39,CT
6424,12456.0,41.1,87799.0,40236.0,4.49582530507386,4.2068079640333975,0.4816955684007707,93.78612716763006,1.2363519588953116,5.0578034682080935,2.7938342967244703,East Hampton,Middlesex County,41.6,-72.5,CT
6426,3228.0,57.6,101250.0,76648.0,3.159851301115242,2.137546468401487,0.0,98.35811648079306,0.8054522924411399,0.8983890954151177,0.0,Essex,Middlesex County,41.35,-72.4,CT
6437,22353.0,47.2,95745.0,51406.0,3.9368317451796178,3.5476222430993603,0.2281572943229096,94.9939605422091,1.3734174383751625,3.7578848476714537,2.3531517022323625,Guilford,New Haven County,41.3,-72.7,CT
6438,2764.0,40.4,85473.0,37953.0,0.4703328509406657,3.6903039073806077,0.0,92.72793053545584,0.0,4.232995658465991,0.3979739507959479,Haddam,Middlesex County,41.46,-72.5,CT
6441,5330.0,43.1,92039.0,40595.0,4.7091932457786125,2.476547842401501,0.2439024390243902,98.33020637898687,0.0,1.2382739212007503,0.7879924953095685,Higganum,Middlesex County,41.46,-72.57,CT
6442,2726.0,47.1,81950.0,41683.0,5.319148936170213,1.9809244314013208,0.586940572267058,95.34115920763023,0.0,0.623624358033749,1.9809244314013208,Ivoryton,Middlesex County,41.34,-72.45,CT
6443,18264.0,45.8,107062.0,53753.0,2.376259307928165,2.540516863775734,0.1533070521243977,95.74572930354796,0.3942181340341655,1.8615856329391152,1.9053876478318004,Madison,New Haven County,41.3,-72.6,CT
6444,191.0,29.4,102000.0,20050.0,0.0,8.37696335078534,0.0,100.0,0.0,0.0,0.0,Marion,Hartford County,41.58,-72.9,CT
6447,6382.0,44.1,110718.0,44766.0,1.1125039172673143,4.27765590723911,0.0470072077718583,96.30209965528047,1.2848636790974617,3.1651519899717955,0.4700720777185835,Marlborough,Hartford County,41.64,-72.46,CT
6450,36756.0,39.1,56211.0,28291.0,13.072695614321473,7.136249863967787,0.6175862444226793,73.24518445968005,9.33180977255414,27.018718032430076,1.5017956252040483,Meriden,New Haven County,41.54,-72.78,CT
6451,23918.0,37.5,49234.0,24409.0,16.042311230035956,5.1425704490342,0.9239903001923238,69.33690107868551,7.71803662513588,30.307718036625136,2.759428045823229,Meriden,New Haven County,41.54,-72.82,CT
6455,3480.0,42.8,89574.0,39624.0,1.3505747126436782,2.6436781609195403,0.2011494252873563,93.1896551724138,0.4885057471264368,0.6609195402298851,6.235632183908047,Middlefield,Middlesex County,41.52,-72.71,CT
6456,280.0,63.0,111250.0,64722.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Middle Haddam,Middlesex County,41.5516,-72.5519,CT
6457,47530.0,37.0,60542.0,32205.0,10.098884914790661,4.2983378918577735,0.7216494845360825,76.06774668630341,12.821375973069642,8.731327582579423,5.099936881969283,Middletown,Middlesex County,41.5,-72.7,CT
6460,37953.0,42.3,77369.0,39809.0,4.971938977155956,4.6030616815535,0.4373830790714831,88.39617421547703,2.5663320422627987,5.546333623165494,6.057492161357469,Milford,New Haven County,41.21,-73.05,CT
6461,14873.0,42.8,90102.0,40067.0,3.9467491427418815,3.8391716533315403,0.2756673166139985,88.46231426074092,2.0775902642372084,3.146641565252471,6.306730316681234,Milford,New Haven County,41.24,-73.07,CT
6467,45.0,41.8,105313.0,41047.0,0.0,0.0,0.0,97.77777777777777,0.0,2.2222222222222223,0.0,Milldale,Hartford County,41.58,-72.9,CT
6468,19529.0,42.4,112605.0,48380.0,3.9735777561575083,3.886527727994265,0.7271237646576886,95.45291617594349,0.7424855343335552,5.8272312970454205,2.2069742434328434,Monroe,Fairfield County,41.34,-73.23,CT
6469,3535.0,40.4,82463.0,37034.0,1.9519094766619518,5.884016973125883,0.594059405940594,95.72842998585571,0.1697312588401697,0.3394625176803394,0.0,Moodus,Middlesex County,41.51,-72.44,CT
6470,16237.0,43.5,116417.0,46695.0,2.2725873006097186,2.6975426495042187,0.1293342366200653,92.01207119541787,1.7367740346123053,4.569809693908973,2.919258483710045,Newtown,Fairfield County,41.4,-73.3,CT
6471,7663.0,46.2,79418.0,41391.0,1.6573143677410935,3.3407281743442514,1.0961764322067076,93.86663186741484,2.0488059506720604,1.6312149288790292,0.4175910217930314,North Branford,New Haven County,41.35,-72.78,CT
6472,6816.0,42.6,92347.0,36483.0,3.0516431924882634,3.931924882629108,0.7335680751173709,97.4325117370892,0.9976525821596244,0.0,1.2030516431924885,Northford,New Haven County,41.38,-72.77,CT
6473,24200.0,46.7,82935.0,38322.0,3.760330578512397,3.9214876033057853,0.871900826446281,90.801652892562,3.0826446280991737,5.3429752066115705,3.768595041322314,North Haven,New Haven County,41.38,-72.86,CT
6475,10268.0,49.9,78227.0,44614.0,5.794701986754968,2.7853525516166733,0.1558239189715621,97.07830151928322,0.2824308531359564,0.4187767822360732,1.3537202960654462,Old Saybrook,Middlesex County,41.3,-72.39,CT
6477,13919.0,45.1,106372.0,48196.0,2.6294992456354622,4.849486313671959,0.0790286658524319,85.73173360155185,3.5993965083698543,5.036281342050434,8.305194338673756,Orange,New Haven County,41.26,-73.0,CT
6478,12602.0,43.3,107308.0,44029.0,4.538962069512776,5.2293286779876205,0.19838120933185197,97.6749722266307,0.0,2.888430407871766,1.7219488970004762,Oxford,New Haven County,41.43,-73.14,CT
6479,10585.0,45.1,80759.0,38428.0,3.4482758620689653,4.355219650448748,0.1794992914501653,95.7864903164856,1.6627302786962683,3.8734057628719887,0.3495512517713746,Plantsville,Hartford County,41.58,-72.9,CT
6480,9500.0,43.6,92344.0,42447.0,5.094736842105263,4.652631578947369,0.1578947368421052,95.4421052631579,1.1578947368421053,3.8105263157894735,0.3578947368421052,Portland,Middlesex County,41.6,-72.6,CT
6481,946.0,47.0,68214.0,42323.0,6.025369978858352,0.9513742071881608,0.0,97.88583509513742,0.0,2.1141649048625792,0.0,Rockfall,Middlesex County,41.53,-72.7,CT
6482,11306.0,41.7,115556.0,47976.0,4.776225013267291,5.138864319830178,0.3803290288342473,89.36847691491243,1.4240226428445073,7.854236688483992,2.9099593136387765,Sandy Hook,Fairfield County,41.41,-73.25,CT
6483,16487.0,42.4,73099.0,33030.0,6.696184872930187,5.386061745617759,0.0727846181840237,87.11105719657913,4.876569418329593,6.465700248680779,1.8924000727846184,Seymour,New Haven County,41.38,-73.09,CT
6484,39641.0,44.5,83755.0,40559.0,4.30867031608688,4.55336646401453,0.4515526853510254,92.44721374334654,2.0509068893317526,6.379758331020912,2.8909462425266765,Shelton,Fairfield County,41.32,-73.14,CT
6488,19841.0,49.9,67195.0,42012.0,6.224484652991282,3.412126404919107,1.8043445390857318,94.68272768509651,1.431379466760748,3.0290811955042587,1.9303462527090367,Southbury,New Haven County,41.49,-73.23,CT
6489,32217.0,43.4,77249.0,37796.0,3.5509203215693583,3.29639631250582,0.5059440667970326,95.179563584443,1.0987987708352729,3.895458919204146,2.1044790017692523,Southington,Hartford County,41.6,-72.88,CT
6492,45168.0,42.1,75588.0,36247.0,5.866985476443499,4.020545518951471,0.4295076160113354,91.20837761246901,1.4080765143464398,10.175345377258237,2.7785157633722988,Wallingford,New Haven County,41.46,-72.81,CT
6498,6980.0,47.3,65030.0,38598.0,3.5386819484240686,5.530085959885386,0.4154727793696275,95.77363896848136,0.8739255014326648,2.163323782234957,2.0773638968481376,Westbrook,Middlesex County,41.3,-72.47,CT
6510,2496.0,28.7,42409.0,37147.0,22.556089743589745,4.206730769230768,0.6009615384615384,57.171474358974365,14.142628205128204,8.133012820512821,25.16025641025641,New Haven,New Haven County,41.308,-72.926,CT
6511,54837.0,28.0,37125.0,24312.0,23.08113135291865,6.118131918230393,0.8096723015482248,43.06946040082426,39.47517187300545,15.378302970622025,7.033572223134017,New Haven,New Haven County,41.31,-72.94,CT
