Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6492,44693.0,47.4,80884.0,43403.0,5.1260823842659935,1.9667509453381962,0.4631597789362987,,,91.27827624012708,1.6109905354306044,8.39505067907726,4.68977244758687,Wallingford,New Haven County,41.46,-72.81,CT
6498,6919.0,54.2,79551.0,59332.0,5.723370429252782,3.656597774244833,0.2457002457002457,,,93.29382858794624,1.1417834947246712,2.7605145252204086,0.8671773377655729,Westbrook,Middlesex County,41.3,-72.47,CT
6510,2576.0,29.5,61250.0,59357.0,21.506211180124225,4.270186335403728,1.7080745341614911,,,63.31521739130435,13.625776397515528,15.683229813664596,15.6055900621118,New Haven,New Haven County,41.308,-72.926,CT
6511,53707.0,29.2,41904.0,28297.0,25.451058521235595,4.228499078332433,0.5772059508071573,,,40.0562310313367,38.3469566350755,16.824622488688625,8.80890759118923,New Haven,New Haven County,41.31,-72.94,CT
6512,28444.0,42.4,64201.0,34353.0,10.772043313176768,3.473491773308958,0.8543102235972437,,,77.12698635916186,5.804387568555759,20.41555336802137,3.624666010406413,East Haven,New Haven County,41.28,-72.87,CT
6513,40037.0,34.5,45502.0,22887.0,22.062092564377945,4.750605689736993,0.689362339835652,,,54.12743212528411,19.4520068936234,51.694682418762646,1.3437570247521042,New Haven,New Haven County,41.32,-72.86,CT
6514,27534.0,35.5,73078.0,34077.0,9.878695431103363,2.8328611898016995,0.8425946102999927,,,48.02062904045907,37.61168010459795,15.377351637974868,4.2492917847025495,Hamden,New Haven County,41.37,-72.94,CT
6515,18344.0,31.6,52048.0,30949.0,15.732664631487136,4.59005669428696,0.2671173135630179,,,44.85390318360228,40.470998691670296,14.462494548626252,3.96860008722198,New Haven,New Haven County,41.33,-72.97,CT
6516,54763.0,36.6,62985.0,30360.0,11.122473202709859,5.160418530759818,0.9038949655789492,,,63.267169439219906,20.59602286215145,23.183536329273416,4.15974289209868,West Haven,New Haven County,41.27,-72.96,CT
6517,14313.0,44.3,85489.0,48349.0,5.931670509327185,2.9833018933836373,0.8034653811220569,,,65.25536225808705,22.517990637881645,12.324460280863551,2.934395304967512,Hamden,New Haven County,41.35,-72.9,CT
6518,19024.0,32.6,81358.0,36681.0,6.2342304457527336,3.4850714886459215,0.1997476871320437,,,76.40349032800674,9.866484440706476,8.32632464255677,8.147603027754416,Hamden,New Haven County,41.42,-72.91,CT
6519,15690.0,31.9,29332.0,18583.0,37.96048438495857,5.239005736137667,1.6124920331421286,,,37.30401529636711,37.737412364563426,45.09878903760357,0.9560229445506692,New Haven,New Haven County,41.3,-72.94,CT
6524,5513.0,47.9,129133.0,61469.0,2.412479593687648,3.5008162524941047,0.3627788862688191,,,88.13713041900961,1.4873934337021586,6.747687284600036,7.20116089243606,Bethany,New Haven County,41.43,-72.99,CT
6525,8827.0,49.3,157610.0,62686.0,3.4553075790189194,1.6200294550810015,0.2605641780899513,,,78.32785770930101,3.2287300328537443,5.7210830406706705,15.701823949246625,Woodbridge,New Haven County,41.35,-73.0,CT
6604,27152.0,32.0,36738.0,23010.0,23.49366529169122,6.938715380082497,1.340601060695345,,,46.921037124337076,31.603565114908662,37.55892751915145,4.644225103123159,Bridgeport,Fairfield County,41.17,-73.2,CT
6605,24635.0,32.4,44372.0,25696.0,28.02110817941952,6.600365333874569,2.204181043231176,,,44.62350314593058,31.96265475948853,41.59123198701035,4.7777552263040395,Bridgeport,Fairfield County,41.16,-73.22,CT
6606,47422.0,37.2,58538.0,27201.0,14.556534941588293,5.84960566825524,1.4465859727552612,,,43.393361730842216,36.26375943654844,31.654084602083426,3.2368942684829825,Bridgeport,Fairfield County,41.21,-73.21,CT
6607,8995.0,29.9,42103.0,16793.0,24.43579766536965,6.014452473596443,1.8010005558643691,,,14.096720400222347,50.072262367982205,43.2017787659811,3.5241801000555864,Bridgeport,Fairfield County,41.18,-73.17,CT
6608,14263.0,32.0,34743.0,17042.0,29.20143027413588,7.999719554091006,1.8859987379934096,,,28.24791418355185,33.66753137488607,62.139802285634154,1.3391292154525696,Bridgeport,Fairfield County,41.19,-73.18,CT
6610,23172.0,38.2,45478.0,24310.0,18.556878991886762,7.276022786121181,1.9894700500604177,,,40.044018643190064,35.12860348696703,48.19178318660453,2.002416709822199,Bridgeport,Fairfield County,41.2,-73.17,CT
6611,35990.0,43.0,122494.0,51823.0,2.692414559599889,3.0202834120589053,0.3639899972214504,,,84.41233676021119,4.584606835232009,7.043623228674631,6.5490414003889965,Trumbull,Fairfield County,41.26,-73.21,CT
6612,7529.0,50.2,157617.0,74018.0,2.218090051799708,3.519723734891752,0.1859476690131491,,,95.3380262983132,0.013281976358081999,3.7455173329791474,1.859476690131492,Easton,Fairfield County,41.27,-73.31,CT
6614,33299.0,44.1,87077.0,40661.0,6.078260608426679,3.5616685185741312,0.9279557944683025,,,81.93339139313494,7.699930928856722,16.018499054025646,3.00009009279558,Stratford,Fairfield County,41.23,-73.13,CT
6615,18821.0,40.6,66815.0,34051.0,10.870835768556399,4.24525795653791,1.1582806439615323,,,57.37208437383774,32.21932947239785,21.592901546145267,1.2273524254821742,Stratford,Fairfield County,41.17,-73.14,CT
6702,3080.0,54.9,12908.0,11648.0,53.57142857142857,3.831168831168831,5.6818181818181825,,,53.92857142857143,25.714285714285715,48.084415584415595,0.1948051948051948,Waterbury,New Haven County,41.56,-73.04,CT
6704,25136.0,34.8,40625.0,20247.0,23.010821133036284,4.801877784850414,1.1218968809675367,,,52.82065563335455,30.39067472947168,45.488542329726286,0.7718014003819224,Waterbury,New Haven County,41.58,-73.03,CT
6705,25653.0,36.0,46228.0,24170.0,18.69566912251978,4.1554594004599865,1.7229953611663351,,,59.05742018477371,19.02311620473239,33.84789303395314,4.693408178380696,Waterbury,New Haven County,41.55,-72.99,CT
6706,13997.0,34.7,43017.0,21954.0,27.21297420875901,4.372365506894335,1.2074015860541545,,,54.39022647710224,15.389011931128099,40.40865899835679,4.4652425519754235,Waterbury,New Haven County,41.53,-73.03,CT
6708,29619.0,33.9,53438.0,28128.0,18.85951585131166,4.243897498227489,0.4287788244032546,,,73.79047233194909,17.397616394881663,29.00840676592728,1.3369796414463688,Waterbury,New Haven County,41.55,-73.07,CT
6710,10774.0,31.2,33929.0,18194.0,30.49006868386857,6.6456283645814,0.7425283088917765,,,58.93818451828476,26.89808798960461,44.0783367365881,1.271579728977167,Waterbury,New Haven County,41.57,-73.04,CT
6712,9657.0,45.8,101389.0,41999.0,1.0044527285906597,1.3875944910427669,0.4556280418349384,,,89.61375168271721,6.699803251527388,3.6243139691415553,0.5074039556798178,Prospect,New Haven County,41.5,-72.98,CT
6716,16615.0,45.8,95257.0,39732.0,3.8218477279566656,1.8417092988263617,0.4814926271441468,,,92.94011435449896,2.3532952151670177,6.578393018356906,1.691242852843816,Wolcott,New Haven County,41.6,-72.98,CT
